county_id,state,county,year,days_with_aqi,good_days,moderate_days,unhealthy_sensitive_days,unhealthy_days,very_unhealthy_days,hazardous_days,unhealthy_or_worse_days,pct_good_days,pct_unhealthy_or_worse_days,median_aqi,p90_aqi,max_aqi,days_ozone,days_pm25,days_pm10,days_co,days_no2,tracts_in_calenviroscreen,population_2019_acs,avg_ces_percentile_pop_weighted,median_ces_percentile_tract,share_tracts_ces_pctl_75plus,avg_pm25_concentration_pop_weighted,avg_pm25_percentile_pop_weighted,share_tracts_pm25_pctl_75plus,avg_ozone_percentile_pop_weighted,avg_diesel_pm_percentile_pop_weighted,avg_traffic_percentile_pop_weighted,avg_pollution_burden_percentile_pop_weighted,avg_population_characteristics_percentile_pop_weighted,avg_poverty_percent_pop_weighted,avg_unemployment_percent_pop_weighted,avg_children_under10_percent_pop_weighted,avg_elderly_65over_percent_pop_weighted,source_note
placer,California,Placer,2024,366,188,151,27,0,0,0,27,51.4,7.4,50,93,140,263,103,0,0,0,84,385512,17.9,12.8,0.0,7.77,13.0,0.0,67.8,34.0,36.4,21.0,21.8,18.1,4.3,11.7,19.1,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
plumas,California,Plumas,2024,366,188,162,7,7,2,0,16,51.4,4.4,48,88,253,0,366,0,0,0,7,18660,30.0,27.4,0.0,7.83,17.6,0.0,68.7,3.4,3.6,19.9,41.2,28.6,5.7,9.1,27.1,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
riverside,California,Riverside,2024,366,43,176,80,60,7,0,147,11.7,40.2,87,174,213,212,115,39,0,0,453,2411439,49.4,48.2,15.0,10.18,51.5,28.0,87.9,42.0,48.0,39.6,56.7,33.7,7.6,13.5,14.1,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
sacramento,California,Sacramento,2024,366,182,169,15,0,0,0,15,49.7,4.1,51,84,140,193,173,0,0,0,317,1524553,45.9,45.1,15.5,8.74,30.7,0.0,52.5,44.4,49.5,31.6,58.2,32.9,6.7,13.2,13.7,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_benito,California,San Benito,2024,366,260,105,1,0,0,0,1,71.0,0.3,43,58,105,218,148,0,0,0,11,60376,49.9,52.0,0.0,4.99,1.1,0.0,22.2,39.0,23.7,35.3,61.9,25.7,6.9,13.2,12.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_bernardino,California,San Bernardino,2024,366,40,182,56,61,26,1,144,10.9,39.3,87,185,593,218,123,18,0,7,369,2149031,61.0,64.6,35.0,11.11,63.2,45.0,92.0,46.6,44.9,53.4,65.0,37.0,8.0,14.5,11.3,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_diego,California,San Diego,2024,366,47,267,48,4,0,0,52,12.8,14.2,71,105,161,202,151,13,0,0,627,3316073,35.3,31.0,8.0,9.61,42.5,3.0,42.6,47.5,49.0,38.8,36.2,28.0,6.2,12.2,13.7,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_francisco,California,San Francisco,2024,334,254,80,0,0,0,0,0,76.0,0.0,33,56,94,22,304,0,0,8,195,874961,31.8,28.4,7.2,8.62,26.9,0.0,5.3,81.6,51.5,35.4,32.9,21.4,4.3,8.1,15.4,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_joaquin,California,San Joaquin,2024,366,178,177,11,0,0,0,11,48.6,3.0,51,79,140,142,215,9,0,0,139,742603,66.5,69.4,36.0,10.54,51.7,1.4,51.1,49.1,43.8,59.5,66.7,35.7,7.9,14.8,12.5,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_luis_obispo,California,San Luis Obispo,2024,366,193,163,10,0,0,0,10,52.7,2.7,49,80,122,262,102,2,0,0,53,282165,23.0,20.6,0.0,7.36,10.3,0.0,23.0,23.7,41.6,33.4,22.1,28.0,4.1,9.5,19.4,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
san_mateo,California,San Mateo,2024,319,281,38,0,0,0,0,0,88.1,0.0,27,51,73,48,258,0,3,10,157,767423,31.8,22.2,4.5,8.35,20.4,0.0,9.4,51.8,58.5,36.9,31.9,16.7,3.6,11.6,15.8,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
santa_barbara,California,Santa Barbara,2024,366,193,171,2,0,0,0,2,52.7,0.5,49,60,146,162,198,6,0,0,89,444829,37.4,32.2,2.2,7.66,11.2,0.0,16.0,41.1,33.0,36.3,40.5,33.2,6.0,12.5,15.0,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
santa_clara,California,Santa Clara,2024,363,201,161,1,0,0,0,1,55.4,0.3,47,63,111,28,334,0,0,1,372,1927470,30.1,25.3,3.0,8.22,19.5,0.0,21.6,57.5,62.4,33.5,33.0,18.0,4.3,12.1,13.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
santa_cruz,California,Santa Cruz,2024,366,293,73,0,0,0,0,0,80.1,0.0,39,54,80,117,249,0,0,0,52,273962,29.1,19.1,3.8,6.14,3.7,0.0,15.3,39.8,40.9,33.3,29.9,29.7,5.8,10.4,15.8,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
shasta,California,Shasta,2024,366,268,94,3,0,1,0,4,73.2,1.1,44,69,232,290,76,0,0,0,48,179212,31.3,30.7,0.0,8.43,25.6,6.2,47.7,30.2,23.8,17.9,46.9,35.5,5.5,12.0,20.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
siskiyou,California,Siskiyou,2024,366,284,82,0,0,0,0,0,77.6,0.0,41,60,94,256,110,0,0,0,14,43468,36.8,32.4,0.0,3.41,0.3,0.0,35.5,7.9,6.4,24.7,47.8,41.3,7.3,12.0,24.7,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
solano,California,Solano,2024,365,343,22,0,0,0,0,0,94.0,0.0,36,46,80,340,22,1,0,2,96,441829,45.0,42.4,13.5,8.47,24.6,0.0,24.1,42.2,49.1,32.1,55.9,24.3,6.1,12.2,15.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
sonoma,California,Sonoma,2024,366,348,18,0,0,0,0,0,95.1,0.0,19,41,72,44,197,124,1,0,99,499772,26.9,20.2,1.0,7.22,8.6,0.0,10.0,35.3,42.2,26.8,31.2,23.4,4.3,10.6,19.0,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
stanislaus,California,Stanislaus,2024,366,166,162,38,0,0,0,38,45.4,10.4,53,101,150,214,136,16,0,0,94,543194,69.2,70.7,43.6,11.29,61.1,13.8,70.2,49.6,32.9,66.1,64.8,37.9,9.5,14.7,12.8,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
sutter,California,Sutter,2024,366,195,166,5,0,0,0,5,53.3,1.4,49,80,115,220,146,0,0,0,21,96109,59.2,56.7,23.8,9.16,38.5,0.0,50.5,45.4,30.0,56.3,56.6,38.5,8.3,14.2,15.0,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
tehama,California,Tehama,2024,366,252,112,2,0,0,0,2,68.9,0.5,43,71,109,280,85,1,0,0,11,63912,50.0,51.7,0.0,6.91,7.8,0.0,57.9,21.2,15.3,31.8,61.3,44.9,8.7,12.2,19.3,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
trinity,California,Trinity,2024,357,258,98,1,0,0,0,1,72.3,0.3,31,62,113,0,357,0,0,0,5,12700,25.2,19.7,0.0,3.89,0.4,0.0,35.2,0.7,0.5,10.5,42.7,40.3,10.2,9.8,26.9,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
tulare,California,Tulare,2024,366,76,179,83,28,0,0,111,20.8,30.3,71,147,185,213,144,9,0,0,78,461898,77.1,78.9,59.0,13.49,93.1,92.3,88.4,37.0,20.4,73.6,71.1,50.1,9.7,17.1,11.2,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
tuolumne,California,Tuolumne,2024,354,286,64,4,0,0,0,4,80.8,1.1,40,67,115,354,0,0,0,0,11,54045,32.9,35.4,0.0,7.52,15.3,0.0,74.0,6.5,12.2,27.4,38.9,28.0,5.3,9.4,25.6,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
ventura,California,Ventura,2024,366,191,160,14,1,0,0,15,52.2,4.1,50,84,176,247,116,3,0,0,173,847263,39.1,36.2,5.2,9.01,36.5,0.0,44.2,38.6,47.8,44.2,37.1,24.5,5.1,12.1,15.1,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
yolo,California,Yolo,2024,366,238,127,1,0,0,0,1,65.0,0.3,45,63,118,203,163,0,0,0,41,217352,43.4,35.7,9.8,8.71,30.6,0.0,46.2,40.7,26.1,43.4,43.8,35.7,6.5,11.4,12.1,EPA AirData annual AQI 2024 joined to CalEnviroScreen 4.0 county summary aggregated from tract records
